year,month,country_chart,artist,track,rank,streams,spotify_link
2017,01,Global,The xx,On Hold,179.0,4391043,https://open.spotify.com/track/5CPqOpKSk0QcJ3dGdaWcRB
2017,01,Global,Rihanna,Needed Me,122.0,4385829,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
2017,01,Global,"DVBBS, CMC$",Not Going Home (feat. Gia Koka),138.0,4379562,https://open.spotify.com/track/042x9bsUBWW2fJgJ6fUh61
2017,01,Global,"FRENSHIP, Emily Warren",Capsize,121.0,4360456,https://open.spotify.com/track/2XMTqoHHSH0lvuXrvIEdco
2017,01,Global,Major Lazer,Light It Up (feat. Nyla & Fuse ODG) - Remix,137.0,4328234,https://open.spotify.com/track/0L7loeTIg6akW84aEQZpCT
2017,01,Global,Ed Sheeran,The A Team,102.0,4292924,https://open.spotify.com/track/1VdZ0vKfR5jneCmWIUAMxK
2017,01,Global,San Holo,Light,137.0,4281481,https://open.spotify.com/track/7zTx8ePYAmPFQuxP3xlXZn
2017,01,Global,Rae Sremmurd,Swang,132.0,4277107,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
2017,01,Global,The Weeknd,Six Feet Under,138.0,4272993,https://open.spotify.com/track/4mU5iXHeLgbR94siF7p1sY
2017,01,Global,Migos,Call Casting,116.0,4238619,https://open.spotify.com/track/0jOfl1nZf6sVBTG08Q4brn
2017,01,Global,Andy Grammer,Fresh Eyes,120.0,4236925,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3
2017,01,Global,Migos,Slippery (feat. Gucci Mane),117.0,4190897,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
2017,01,Global,Lukas Graham,7 Years,135.0,4165348,https://open.spotify.com/track/7129iqBafaphfc3WPCGC0L
2017,01,Global,Migos,Get Right Witcha,118.0,4158758,https://open.spotify.com/track/76Y0gxtTxN0FyDCYh5qYQj
2017,01,Global,"Post Malone, Quavo",Congratulations,196.0,4140168,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
2017,01,Global,DNCE,Cake By The Ocean,136.0,4121856,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl
2017,01,Global,Rihanna,Love On The Brain,125.0,4067447,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
2017,01,Global,Stanaj,Romantic - NOTD Remix,170.0,4057461,https://open.spotify.com/track/3SGWp9fJCzgK0WcpcKSQdy
2017,01,Global,Niall Horan,This Town,131.0,4041840,https://open.spotify.com/track/5nA67Y0XX9JipZwYxX7Gl7
2017,01,Global,"Zay Hilfigerrr, Zayion McCall",Juju on That Beat (TZ Anthem),184.0,4003507,https://open.spotify.com/track/1lItf5ZXJc1by9SbPeljFd
2017,01,Global,A R I Z O N A,Oceans Away,141.0,3978508,https://open.spotify.com/track/6A8dnC0xkiuWN4BshmTB2I
2017,01,Global,Ariana Grande,Into You,140.0,3960147,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
2017,01,Global,Bruno Mars,That's What I Like,152.0,3956607,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
2017,01,Global,The xx,Say Something Loving,120.0,3923573,https://open.spotify.com/track/728zbo72kOoYdGR3AhNsyF
2017,01,Global,Lil Uzi Vert,You Was Right,163.0,3910990,https://open.spotify.com/track/2ANLarE8yHVsLWW21nj79M
2017,01,Global,"DJ Snake, Bipolar Sunshine",Middle,152.0,3900909,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n
2017,01,Global,MC G15,Deu Onda,162.0,3879621,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF
2017,01,Global,Calum Scott,Dancing On My Own,155.0,3875013,https://open.spotify.com/track/02WacdrRpm4zlP8H7X6bnQ
2017,01,Global,"Ryan Gosling, Emma Stone","City Of Stars - From ""La La Land"" Soundtrack",155.0,3861545,https://open.spotify.com/track/0LtVx5vsq9nfpGsWgjUin6
2017,01,Global,Adele,Send My Love (To Your New Lover),153.0,3848138,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb
2017,01,Global,Daddy Yankee,Shaky Shaky,141.0,3835277,https://open.spotify.com/track/58IL315gMSTD37DOZPJ2hf
2017,01,Global,Nause,Dynamite (feat. Pretty Sister),187.0,3812898,https://open.spotify.com/track/2Ae5awwKvQpTBKQHr1TYCg
2017,01,Global,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),145.0,3807071,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD
2017,01,Global,"Galantis, Hook N Sling",Love on Me,144.0,3754455,https://open.spotify.com/track/2MHCiOohBZEQuLgDTPvSzF
2017,01,Global,MØ,Final Song,147.0,3729201,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7
2017,01,Global,"Jonas Blue, Dakota",Fast Car,158.0,3711721,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
2017,01,Global,Chance the Rapper,No Problem (feat. Lil Wayne & 2 Chainz),160.0,3683617,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH
2017,01,Global,Lauv,The Other,176.0,3665933,https://open.spotify.com/track/1lntL1cI2UIWlxjL5QiN8g
2017,01,Global,Travis Scott,goosebumps,186.0,3656344,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
2017,01,Global,Sia,The Greatest,186.0,3634407,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1
2017,01,Global,Major Lazer,Lean On (feat. MØ & DJ Snake),156.0,3633427,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
2017,01,Global,"Young Thug, Travis Scott",pick up the phone,149.0,3624025,https://open.spotify.com/track/20dP2DaMHIAmwWAbp7peSr
2017,01,Global,John Mayer,Moving On and Getting Over,139.0,3596116,https://open.spotify.com/track/1crSsvtU9wZB15dIQXV2QH
2017,01,Global,Big Sean,Moves,178.0,3585051,https://open.spotify.com/track/0Fv5N0cHBsl4bzCbollCAS
2017,01,Global,Enrique Iglesias,DUELE EL CORAZON (feat. Wisin),164.0,3559357,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
2017,01,Global,"Chino & Nacho, Daddy Yankee",Andas En Mi Cabeza,151.0,3554527,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF
2017,01,Global,"G-Eazy, Bebe Rexha","Me, Myself & I",165.0,3552258,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
2017,01,Global,Ed Sheeran,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",194.0,3539885,https://open.spotify.com/track/3B7udSGy2PfgoCniMSb523
2017,01,Global,KREAM,Taped up Heart (feat. Clara Mae),169.0,3528959,https://open.spotify.com/track/26hcyzSE154xMZCbFdtInA
2017,01,Global,MiC LOWRY,Oh Lord,165.0,3504674,https://open.spotify.com/track/1sTUEdVO85YU8Ymk2jeAls
2017,01,Global,Anuel AA,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",150.0,3490814,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
2017,01,Global,Gucci Mane,Both (feat. Drake),163.0,3479436,https://open.spotify.com/track/5tFep7dXGd7vEJ668wTPux
2017,01,Global,The xx,Dangerous,144.0,3445230,https://open.spotify.com/track/33B2QbtAj8mbDpwvGTOnBt
2017,01,Global,"Charly Black, Daddy Yankee",Gyal You A Party Animal - Remix,185.0,3441387,https://open.spotify.com/track/1AkTW13ysu0AJrwuM6UY0I
2017,01,Global,Adele,Hello,166.0,3426126,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw
2017,01,Global,The Chainsmokers,Roses (feat. ROZES),172.0,3412220,https://open.spotify.com/track/6O6M7pJLABmfBRoGZMu76Y
2017,01,Global,Young M.A,OOOUUU,197.0,3406762,https://open.spotify.com/track/7JYsArznYOjX2jsrT3UEnL
2017,01,Global,J. Cole,Neighbors,193.0,3405071,https://open.spotify.com/track/0utlOiJy2weVl9WTkcEWHy
